userId,itemId,rating,timestamp
1,1,1.0,964982703
1,2,2.0,4123
1,3,5.0,1234
1,4,4.0,1234
1,5,3.0,1234
2,1,2.0,1234
2,3,3.0,1234
2,4,5.0,1234
2,5,3.0,1234
2,7,2.0,1234
2,8,5.0,1234
3,1,3.0,1234
3,2,4.0,1234
3,5,1.0,1234
3,6,3.0,1234
4,10,4.0,123
4,12,5.0,123
4,11,3.0,142
5,1,2.0,5124
5,2,3.0,142
5,10,5.0,142
5,15,1.0,142
6,15,1.0,142
6,3,5.0,142
6,2,5.0,142
6,5,5.0,142
7,1,2.0,142
7,12,3.0,142
7,13,2.0,142
7,20,4.0,142
8,20,1.0,142
8,21,5.0,142
8,22,2.0,142
8,23,2.0,142